venue_id,venue_name,venue_lat,venue_long,venue_category,neighborhood,neighb_lat,neighb_long
4a37fd9af964a520a19e1fe3,James Michael Levin Playground,40.77589430914203,-73.9651107788086,Playground,Upper East Side,40.775638573301805,-73.96050763135
4c30f3c166e40f477d4fc48b,Metropolitan Museum Steps,40.77906283716806,-73.96251440048218,Plaza,Upper East Side,40.775638573301805,-73.96050763135
49ebbf61f964a52020671fe3,Central Park Mall,40.77244937900301,-73.97154808044434,Park,Upper East Side,40.775638573301805,-73.96050763135
4a229fa8f964a520797d1fe3,Jacqueline Kennedy Onassis Reservoir,40.784212597382556,-73.96105805844408,Reservoir,Upper East Side,40.775638573301805,-73.96050763135
4b47cdd5f964a520693f26e3,The Lake,40.77656052501792,-73.97287845611572,Lake,Upper East Side,40.775638573301805,-73.96050763135
4b4cb52bf964a52022bb26e3,Cedar Hill,40.7771942363583,-73.96558284759521,Field,Upper East Side,40.775638573301805,-73.96050763135
4b003184f964a520593b22e3,Arthur Ross Pinetum,40.783271058668454,-73.96661281585693,Garden,Upper East Side,40.775638573301805,-73.96050763135
4a070d7ef964a52020731fe3,Conservatory Water,40.77417999123538,-73.96720290184021,Lake,Upper East Side,40.775638573301805,-73.96050763135
4e2e881518a8ea95b09c1b77,Glade Arch,40.77634928656113,-73.96565794944763,Bridge,Upper East Side,40.775638573301805,-73.96050763135
4ad5cda5f964a520900321e3,Bridle Path,40.78460409735965,-73.96717071533203,Trail,Upper East Side,40.775638573301805,-73.96050763135
4c8235c6d34ca143ff782980,Bio Fitness Center,40.776651,-73.953208,Gym,Upper East Side,40.775638573301805,-73.96050763135
4be709372468c9281aff0143,Bethesda Terrace,40.77385431547793,-73.97098155596522,Plaza,Upper East Side,40.775638573301805,-73.96050763135
54b5f53d498e32bd7fb45b7f,The K-9 Club,40.776170545803794,-73.954918384552,Dog Run,Upper East Side,40.775638573301805,-73.96050763135
57d1ea28498ed2d815c11ff4,The Triplets Bridge,40.77917451284483,-73.97266182461254,Bridge,Upper East Side,40.775638573301805,-73.96050763135
4bb879583db7b7131a51219a,Hernshead,40.777478592046144,-73.97280871868134,Scenic Lookout,Upper East Side,40.775638573301805,-73.96050763135
5b60d31767a9fe002c34b374,Rumble,40.77782557215498,-73.95477307283355,Gym / Fitness Center,Upper East Side,40.775638573301805,-73.96050763135
4a97e23df964a520db2920e3,Equinox East 85th Street,40.778000936515156,-73.95414335182961,Gym / Fitness Center,Upper East Side,40.775638573301805,-73.96050763135
4a50f0a7f964a52047b01fe3,Belvedere Castle,40.77935937115963,-73.96903216838837,Castle,Upper East Side,40.775638573301805,-73.96050763135
4a62256ef964a52034c31fe3,Turtle Pond,40.77948161488126,-73.96793782711028,Lake,Upper East Side,40.775638573301805,-73.96050763135
4d7bf29eea35236aaedb4f23,Greywacke Arch,40.779099396224886,-73.96556943655014,Bridge,Upper East Side,40.775638573301805,-73.96050763135
4a6b8bf4f964a52018cf1fe3,Bethesda Fountain,40.77429373881737,-73.9708399772644,Fountain,Upper East Side,40.775638573301805,-73.96050763135
4abe7a18f964a520e78d20e3,Shakespeare Garden,40.77981026277445,-73.96995484828949,Garden,Upper East Side,40.775638573301805,-73.96050763135
4b6f1201f964a520f8da2ce3,Diana Ross Playground,40.78222597223166,-73.9712477711707,Playground,Upper East Side,40.775638573301805,-73.96050763135
4bc0c0e4f8219c74d61eb210,Ancient Playground,40.78076623610476,-73.96153950899756,Playground,Upper East Side,40.775638573301805,-73.96050763135
5c7abd5354b7a90025f20002,Swerve Fitness,40.766364,-73.963437,Cycle Studio,Upper East Side,40.775638573301805,-73.96050763135
4a38048cf964a520a79e1fe3,Central Park - 72nd St Playground,40.77210798131282,-73.96772031691907,Playground,Upper East Side,40.775638573301805,-73.96050763135
4b5313f9f964a5204c8e27e3,Ramble Shed,40.77884603185296,-73.96690078958731,Other Great Outdoors,Upper East Side,40.775638573301805,-73.96050763135
4baf668df964a52009fd3be3,Winterdale Arch,40.781812834493834,-73.96938219666481,Bridge,Upper East Side,40.775638573301805,-73.96050763135
4dcd8d06fa7664b7c6918c85,United Tae Kwon Do Center,40.77868558328984,-73.95112220565069,Martial Arts School,Upper East Side,40.775638573301805,-73.96050763135
4bc21475abf495211fe9c193,Billy Johnson Playground,40.76954273947453,-73.96979938772729,Playground,Upper East Side,40.775638573301805,-73.96050763135
4d1136ea99b78cfa782bc8d5,Sokol New York,40.766653159251426,-73.95533533866734,Club House,Upper East Side,40.775638573301805,-73.96050763135
4a50cc93f964a52026b01fe3,New York Sports Clubs,40.78192953903718,-73.95102498574968,Gym / Fitness Center,Upper East Side,40.775638573301805,-73.96050763135
58b769a6ef46945fb46dc7a2,CYC Fitness,40.768987784829804,-73.9607971294755,Cycle Studio,Upper East Side,40.775638573301805,-73.96050763135
4abe8ee6f964a5207a8e20e3,Rumsey Playfield,40.77257125457938,-73.97022843360901,Music Venue,Upper East Side,40.775638573301805,-73.96050763135
4b4fbddbf964a520891327e3,New York Health & Racquet Club,40.769621598773064,-73.95194078711984,Gym,Upper East Side,40.775638573301805,-73.96050763135
4bb65d7b6edc76b087d2301c,John Finley Walk,40.7676979,-73.9496591,Park,Yorkville,40.775929849884875,-73.94711784471826
5074c025e4b091d93634c08e,East River Running Path 89th street entrance,40.774613569676426,-73.94425119225376,Other Great Outdoors,Yorkville,40.775929849884875,-73.94711784471826
4c04104458dad13aeb344897,East River Esplanade - E 96 to E 125 St,40.783081878923326,-73.94388955305091,Park,Yorkville,40.775929849884875,-73.94711784471826
4b9f622af964a5207b1f37e3,East River Promenade,40.77491934703723,-73.94288063049316,Park,Yorkville,40.775929849884875,-73.94711784471826
4d2cf7b979bc721ef049e7ee,East River Running Path,40.78177476164983,-73.94417082804488,Track,Yorkville,40.775929849884875,-73.94711784471826
49ee4a7df964a52047681fe3,Carl Schurz Park,40.77511823969361,-73.94376326618595,Park,Yorkville,40.775929849884875,-73.94711784471826
5d7b73f24dcf7900084767a8,Serrano Gym,40.778835,-73.94557900000001,Gym / Fitness Center,Yorkville,40.775929849884875,-73.94711784471826
4ace7e0df964a520dfd020e3,Yorkville Tennis Club,40.778263475536534,-73.94628938563997,Athletics & Sports,Yorkville,40.775929849884875,-73.94711784471826
459813d3f964a5207c401fe3,Gracie Mansion,40.77612992283735,-73.94310057163237,Monument / Landmark,Yorkville,40.775929849884875,-73.94711784471826
4ba53855f964a520a0ed38e3,Carl Schurz Dog Run,40.77393335224556,-73.94388158347658,Dog Run,Yorkville,40.775929849884875,-73.94711784471826
4b561591f964a52093ff27e3,Synergy Fitness Clubs,40.78234716485186,-73.94870988344918,Gym / Fitness Center,Yorkville,40.775929849884875,-73.94711784471826
4ac13d5ff964a5205b9620e3,Equinox,40.77046,-73.957387,Gym,Yorkville,40.775929849884875,-73.94711784471826
4a6da55cf964a520d2d21fe3,New York Sports Clubs,40.77111703057608,-73.95514168689478,Gym / Fitness Center,Yorkville,40.775929849884875,-73.94711784471826
5289278911d24b1d79217e4a,Asphalt Green Field,40.778579953884275,-73.94444841389684,Soccer Field,Yorkville,40.775929849884875,-73.94711784471826
50d7b63ae4b01e0c6fe9f191,E 96st & 2nd Avenue,40.78354022445024,-73.94533610580748,Other Great Outdoors,Yorkville,40.775929849884875,-73.94711784471826
4a6f77a1f964a5203ed61fe3,Asphalt Green,40.779061977935854,-73.9440952293109,Gym,Yorkville,40.775929849884875,-73.94711784471826
4def9ecee4cdcd6c3f2dfbf0,Spear Physical Therapy,40.77681991964125,-73.95319571661774,Physical Therapist,Yorkville,40.775929849884875,-73.94711784471826
54580b53498e52a22c11cb56,Convent of the Sacred Heart Athletics and Wellness Center,40.77964,-73.946561,School,Yorkville,40.775929849884875,-73.94711784471826
4c8235c6d34ca143ff782980,Bio Fitness Center,40.776651,-73.953208,Gym,Yorkville,40.775929849884875,-73.94711784471826
4be5a3f8cf200f471179133c,Blackwell Island Lighthouse,40.772696942553665,-73.94028481728813,Lighthouse,Yorkville,40.775929849884875,-73.94711784471826
4a884dc2f964a520d10520e3,Ruppert Park,40.78102887344622,-73.95017087459563,Park,Yorkville,40.775929849884875,-73.94711784471826
4e3ad6e518a80688f96c78ae,East River Benches,40.766051772297885,-73.95153964067178,Park,Yorkville,40.775929849884875,-73.94711784471826
4b55cc51f964a52080f027e3,Stanley Isaacs Park / Paul L. McDermott Roller Hockey Rink,40.78275663453636,-73.94470565828635,Skating Rink,Yorkville,40.775929849884875,-73.94711784471826
54b5f53d498e32bd7fb45b7f,The K-9 Club,40.776170545803794,-73.954918384552,Dog Run,Yorkville,40.775929849884875,-73.94711784471826
5102ff4ee4b0584e22e688d0,E 100st & Second Avenue,40.7865213612644,-73.94561737869883,Other Great Outdoors,Yorkville,40.775929849884875,-73.94711784471826
4a739c82f964a520eedc1fe3,Lighthouse Park,40.77197886108374,-73.94085864555308,Park,Yorkville,40.775929849884875,-73.94711784471826
4f0cbc2fe4b0d563f8163389,Gym @ The York,40.772036055720754,-73.95076871556721,Gym,Yorkville,40.775929849884875,-73.94711784471826
4a50cc93f964a52026b01fe3,New York Sports Clubs,40.78192953903718,-73.95102498574968,Gym / Fitness Center,Yorkville,40.775929849884875,-73.94711784471826
